review_business_price_range_detail,review_rating,review_business_number_rating,review_business_price_range,review_content,review_business_rating,review_business_reviews_count,review_business_name
"
                        $11-30
                    ",5.0,,2,"food here was amazing came here on lunch break with coworkers and was blown away, finally somthing other than korean food in koreatown hehe.",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,I came here with my boyfriend last Friday and let me just say that this place did not disappoint.,4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,Hidden gem of an Italian restaurant in KTown!,4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,This place screams WE ARE ITALY. It's very authentic and they have all these Italian pictures and and italian map on the wall. Even the people working here were Italian. At least they talked to me in Italian. ,4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,This is the best Italian I've had in California hands down and I would have kept trying more dishes if my stomach would have fit it. The lasagne was my favorite thing that I tried but I'll be back to try more dishes.,4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,We were brought to this restaurant based on wanting something new and Italian while driving around LA. The great part about coming to this place is the $1.50 valet parking (subject to change) upon entering the plaza. Don't be fooled by the exterior as the presentation of the dishes are not what you would expect for the prices you pay.,4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"This place... Oh this place, I'd love to write a bad review just so it doesn't get popular, but in doing so I would be selfish if I did that because I know that once people experience how amazing the food is and how inexpensive it is for what you get, then it's gonna get so busy, and that would mean, I'd have to start booking reservations just to get in. This place was super clean, wonderfully priced and super delicious. I give it a higher star rating but the option for that isn't available. The food reminds me of authentic Italian food with a flare of contemporary interest.",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,"Kind of random to find a purely Italian restaurant in Ktown, but I enjoyed everything I had for dinner here. Make sure to bring your appetite with the carbload here.",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,"I recently came here for dinner on a weekday with a large group of friends. In full disclosure, I had a surprise party here, thinking it was just going to be my friend and I catching up, one-on-one.",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,First time here:,4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,Mama mia! ,4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"This is the coziest, classiest yummiest place in all of K-Town! I don't actually know about the whole of K-Town, but I do know that around these parts... For sure! ",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"Homemade delicious Italian food, freshly prepared - hidden in a Korea town minimall. ",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,The food here is wonderful. The servers were very friendly and helpful. Best of all the prices are very reasonable. Access is easy as there is valet parking in the shopping center.,4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,Came back for a bridal dinner and I must say this has become my new favorite Italian joint in Koreatown. We ordered the,4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",2.0,,2,"After reading all the praises from Yelpers, my family decided to visit this place and I was supprised to see this kind of italian restaurant hidden in Koreatown. Server was nice and the pizza was fantastic, price was reasonable, and I almost made this place to become my favorite italian restaurant. ",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"Hey Guisepe,",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,Yummy! ,4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,Very suprising to have a place like this in th middle of ktown. The food itself is not bad. The service is very friendly and good and the food comes out pretty fast. The flavor is a little on the bland side (only my opinion) but definitely one of the better italian places around LA.,4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,What a pleasant surprise! ,4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"Wow! This place was fantastic! You might not expect a top rated Italian place in the middle of Korean-town, but it's here, and it seems to be very authentic. Our waiter, Joey, explained that it started when the owner, Giuseppe, started a good relationship with a Korean family as their chef, and stayed in the area to open his restaurant. We started with the bruschetta, which was served with 3 different toppings- fantastic! For dinner I had the Tagliolini with prosciutto ham- it was great for the creamy dish wanted with less of a meat flavor than beef. The panna cotta for desert was also amazing! If you've never had it, it's a little hard to explain- sort of an Italian custard, but just try it! Overall we were super pleased with this restaurant!!",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"Because I have been working and eating out in Los Angeles for several years now, my sense of what I consider to be ""cheap"" for food is slightly distorted. When I read on Yelp that the pasta dishes here were ""reasonably priced,"" I thought cool, dinner will probably cost me around $12-$15 bucks a plate. ",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,I had an amazing 8 course meal. Everything I tried tasted great. And the prices were very reasonable. I will definitely be back again!,4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"Atmosphere at lunch: such a cute place, a little noisy, but worth it given the food! Great place for groups.",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"We were looking for a place to eat out we were un sure of where to go so we can between Anima at first i thought it was going to be like any other resturants then i looked it up on yelp & it said it was italian i was like whattt? Then my bf was like lets go check the menu i was like sure why not then we walk in & it was kinda of packed but the ambiance had a good vibe the server was very nice & attentive . Now lets go on to the food we waited like 30 mins for our food but for me it wasn't no biggie, it was worth the wait then our food arrived i was like damm that looks yummy it was mashed potatoes & braised short ribs wow & its sauce was divine after that i took the rest home i got full fast it was pretty cheap def hope to come back even the chef was very nice! Plus they berly turn 1 year of being there its pretty cheap.",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"I have had their pasta and a chicken special that was grilled to perfection and wonderfully presented. The service is prompt, although there was a bit of a delay getting all the orders (5) to the table at the same time. A very minor issue. ",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,Delicious. ,4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"Authentic Italian food in the heart of K-Town? Yeah, they went ahead and did it. Delicious pasta and pizza. Very fresh ingredients, clean flavors. The smoked salmon pizza has never done me wrong. They also have a chili oil to put on your pizza, definitely ask for it! Food is pretty moderately priced, so you won't be dropping $$$$ here. There's valet parking outside ($1.50), but if you're lucky, you'll get there when they stop valeting.",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,I went on a Sunday night for dinner and liked All' Angolo so definitely wanted to try this place.,4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"TL;DR - Fresh, delicious, amazing.",4.5,201.0,"
        Anima Pizza & Pasta
    "
